"SAMPLE_POINT","SAMPLE_DATE","TEST","TEST_METHOD","RESULT","OPERATOR","RESULT_UNITS","STATUS"
"Lake Alexandrina: off Point Sturt",03/10/2008 09:00:00,"pH","Electometric method","8.5","=","pH Units",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:00:00,"pH","Electrometric: TPS 90 (Uni of Adelaide field test)","8.64","=","pH Units",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:00:00,"phosphorus (sol as P)","MF(0.45um): colorimetry (field filtered)",".005","<","mg/L",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:00:00,"phosphorus (total as P)","Ascorbic acid: automated flow colorimetry (water)",".214","=","mg/L",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:00:00,"sampling depth","measured from water surface","0","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:00:00,"sulphate","0.45um filtration/1% HNO3, ICP emission spectro","208","=","mg/L",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:00:00,"sulphur - (total as S)","Acid digest: ICP","66","=","mg/L",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:00:00,"suspended solids (total inorganic)","Muffle furnace @ 550C (Uni of Adelaide)","58","=","mg/L",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:00:00,"suspended solids (total)","Total suspended solids dried at 103-105 C","96.7","=","mg/L",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:00:00,"temperature","field test","15.94","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:01:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","8.79","=","mg/L",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:01:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2640","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:01:00,"sampling depth","measured from water surface",".28","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:01:00,"temperature","field test","15.87","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:02:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","8.75","=","mg/L",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:02:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2640","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:02:00,"sampling depth","measured from water surface",".54","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:02:00,"temperature","field test","15.87","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:03:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","8.72","=","mg/L",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:03:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2640","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:03:00,"sampling depth","measured from water surface",".78","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:03:00,"temperature","field test","15.83","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:04:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","8.63","=","mg/L",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:04:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2640","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:04:00,"sampling depth","measured from water surface","1.06","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:04:00,"temperature","field test","15.78","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:05:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","8.55","=","mg/L",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:05:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2640","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:05:00,"sampling depth","measured from water surface","1.3","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",03/10/2008 09:05:00,"temperature","field test","15.78","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",14/10/2008 12:55:00,"Acid Neutralising Capacity (as CaCO3)","titration of unfiltered field sample","172","=","mg/L",""
"Lake Alexandrina: off Point Sturt",14/10/2008 12:55:00,"Electrical Conductivity (25C)","electrometric (WTW field probe)","4360","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",14/10/2008 12:55:00,"alkalinity (as CaCO3)","field titration","164","=","mg/L",""
"Lake Alexandrina: off Point Sturt",14/10/2008 12:55:00,"alkalinity (as CaCO3)","Calculation","184","=","mg/L",""
"Lake Alexandrina: off Point Sturt",14/10/2008 12:55:00,"bicarbonate","potentiometric titration","209","=","mg/L",""
"Lake Alexandrina: off Point Sturt",14/10/2008 12:55:00,"carbonate","Potentiometric titration method","8","=","mg/L",""
"Lake Alexandrina: off Point Sturt",14/10/2008 12:55:00,"hydroxide","Automated Acidimetric Titration","0","=","mg/L",""
"Lake Alexandrina: off Point Sturt",14/10/2008 12:55:00,"pH","Electrometric method (field test)","8.8","=","pH Units",""
"Lake Alexandrina: off Point Sturt",14/10/2008 12:55:00,"temperature","field test","17.1","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","9.8","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4256","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"TKN (as N)","Kjeldahl digest/ automated colorimetric method","4","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"Turbidity","Field nephelometer probe (UofA)","162.1","=","NTU",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"Volatile Suspended Solids","Muffle furnace @ 550C","75.5","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"alkalinity (as CaCO3)","Calculation","187","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"ammonia (as N)","Auto phenate method",".01","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"bathymetric depth","Measured depth to bottom","1.8","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"bicarbonate","potentiometric titration","228","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"carbonate","Potentiometric titration method","0","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"chlorophyll pigments (total)","absorbance@665nm - 99% methanol","83.7","=","ug/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"hydroxide","Automated Acidimetric Titration","0","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"nitrogen (total as N)","sum of oxidised N and TKN","4","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"organic carbon (dissolved)","Combustion: IR detection","9.3","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"organic carbon (total)","Combustion: IR detection","30.4","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"oxidised nitrogen (as N)","Colorimetric: Cd reduction (field filtered sample)",".005","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"pH","Electrometric: TPS 90 (Uni of Adelaide field test)","8.44","=","pH Units",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"pH","Electometric method","8.3","=","pH Units",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"phosphorus (sol as P)","MF(0.45um): colorimetry (field filtered)",".005","<","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"phosphorus (total as P)","Ascorbic acid: automated flow colorimetry (water)",".312","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"sampling depth","measured from water surface","0","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"sulphate","0.45um filtration/1% HNO3, ICP emission spectro","191","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"sulphur - (total as S)","Acid digest: ICP","64.2","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"suspended solids (total inorganic)","Muffle furnace @ 550C (Uni of Adelaide)","132.4","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"suspended solids (total)","Total suspended solids dried at 103-105 C","207.9","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:38:00,"temperature","field test","17.6","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:39:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","9.77","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:39:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4255","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:39:00,"Turbidity","Field nephelometer probe (UofA)","161.6","=","NTU",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:39:00,"sampling depth","measured from water surface",".25","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:39:00,"temperature","field test","17.6","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:41:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","9.73","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:41:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4252","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:41:00,"Turbidity","Field nephelometer probe (UofA)","160.9","=","NTU",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:41:00,"sampling depth","measured from water surface",".5","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:41:00,"temperature","field test","17.6","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:42:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","9.69","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:42:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4250","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:42:00,"Turbidity","Field nephelometer probe (UofA)","159.3","=","NTU",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:42:00,"sampling depth","measured from water surface",".75","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:42:00,"temperature","field test","17.6","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:43:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","9.71","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:43:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4254","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:43:00,"Turbidity","Field nephelometer probe (UofA)","159.9","=","NTU",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:43:00,"sampling depth","measured from water surface","1","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:43:00,"temperature","field test","17.6","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:45:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","9.68","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:45:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4254","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:45:00,"Turbidity","Field nephelometer probe (UofA)","160.2","=","NTU",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:45:00,"sampling depth","measured from water surface","1.25","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:45:00,"temperature","field test","17.6","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:46:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","9.7","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:46:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4252","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:46:00,"Turbidity","Field nephelometer probe (UofA)","161.2","=","NTU",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:46:00,"sampling depth","measured from water surface","1.5","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:46:00,"temperature","field test","17.6","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:47:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","9.7","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:47:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4250","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:47:00,"Turbidity","Field nephelometer probe (UofA)","163","=","NTU",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:47:00,"sampling depth","measured from water surface","1.75","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:47:00,"temperature","field test","17.6","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:49:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","9.63","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:49:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4250","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:49:00,"Turbidity","Field nephelometer probe (UofA)","162.6","=","NTU",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:49:00,"sampling depth","measured from water surface","2","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:49:00,"temperature","field test","17.6","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:50:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","9.66","=","mg/L",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:50:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4252","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:50:00,"Turbidity","Field nephelometer probe (UofA)","172.7","=","NTU",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:50:00,"sampling depth","measured from water surface","2.25","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",29/10/2008 09:50:00,"temperature","field test","17.6","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",10/11/2008 12:10:00,"Acid Neutralising Capacity (as CaCO3)","titration of unfiltered field sample","174","=","mg/L",""
"Lake Alexandrina: off Point Sturt",10/11/2008 12:10:00,"Electrical Conductivity (25C)","electrometric (WTW field probe)","4800","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",10/11/2008 12:10:00,"alkalinity (as CaCO3)","field titration","166","=","mg/L",""
"Lake Alexandrina: off Point Sturt",10/11/2008 12:10:00,"alkalinity (as CaCO3)","Calculation","188","=","mg/L",""
"Lake Alexandrina: off Point Sturt",10/11/2008 12:10:00,"bicarbonate","potentiometric titration","204","=","mg/L",""
"Lake Alexandrina: off Point Sturt",10/11/2008 12:10:00,"carbonate","Potentiometric titration method","12","=","mg/L",""
"Lake Alexandrina: off Point Sturt",10/11/2008 12:10:00,"hydroxide","Automated Acidimetric Titration","0","=","mg/L",""
"Lake Alexandrina: off Point Sturt",10/11/2008 12:10:00,"pH","Electrometric method (field test)","8.65","=","pH Units",""
"Lake Alexandrina: off Point Sturt",10/11/2008 12:10:00,"temperature","field test","21.2","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"Acid Neutralising Capacity (as CaCO3)","titration of unfiltered field sample","176","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.27","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","3350","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"TKN (as N)","Kjeldahl digest/ automated colorimetric method","2.57","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"Turbidity","Field nephelometer probe (UofA)","56.2","=","NTU",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"Volatile Suspended Solids","Muffle furnace @ 550C","45.3","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"alkalinity (as CaCO3)","field titration","164","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"alkalinity (as CaCO3)","Calculation","172","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"ammonia (as N)","Auto phenate method",".005","<","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"bathymetric depth","Measured depth to bottom","1.55","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"bicarbonate","potentiometric titration","199","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"carbonate","Potentiometric titration method","5","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"chlorophyll pigments (total)","absorbance@665nm - 99% methanol","65.1","=","ug/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"hydroxide","Automated Acidimetric Titration","0","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"nitrogen (total as N)","sum of oxidised N and TKN","2.57","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"organic carbon (dissolved)","Combustion: IR detection","9.6","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"organic carbon (total)","Combustion: IR detection","22.1","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"oxidised nitrogen (as N)","Colorimetric: Cd reduction (field filtered sample)",".005","<","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"pH","Electometric method","8.5","=","pH Units",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"pH","Electrometric: TPS 90 (Uni of Adelaide field test)","8.41","=","pH Units",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"phosphorus (sol as P)","MF(0.45um): colorimetry (field filtered)",".005","<","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"phosphorus (total as P)","Ascorbic acid: automated flow colorimetry (water)",".171","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"sampling depth","measured from water surface","0","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"sulphate","0.45um filtration/1% HNO3, ICP emission spectro","179","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"sulphur - (total as S)","Acid digest: ICP","55.6","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"suspended solids (total inorganic)","Muffle furnace @ 550C (Uni of Adelaide)","71.5","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"suspended solids (total)","Total suspended solids dried at 103-105 C","116.8","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:50:00,"temperature","field test","15.8","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:51:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.27","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:51:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4140","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:51:00,"Turbidity","Field nephelometer probe (UofA)","55.5","=","NTU",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:51:00,"sampling depth","measured from water surface",".25","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:51:00,"temperature","field test","15.8","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:52:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.15","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:52:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4160","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:52:00,"Turbidity","Field nephelometer probe (UofA)","52.6","=","NTU",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:52:00,"sampling depth","measured from water surface",".5","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:52:00,"temperature","field test","15.8","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:53:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.16","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:53:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4130","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:53:00,"Turbidity","Field nephelometer probe (UofA)","55.2","=","NTU",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:53:00,"sampling depth","measured from water surface",".75","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:53:00,"temperature","field test","15.8","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:54:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.08","=","mg/L",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:54:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4130","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:54:00,"Turbidity","Field nephelometer probe (UofA)","82.7","=","NTU",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:54:00,"sampling depth","measured from water surface","1","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",24/11/2008 08:54:00,"temperature","field test","15.8","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",08/12/2008 15:00:00,"Acid Neutralising Capacity (as CaCO3)","titration of unfiltered field sample","176","=","mg/L",""
"Lake Alexandrina: off Point Sturt",08/12/2008 15:00:00,"Electrical Conductivity (25C)","electrometric (WTW field probe)","4850","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",08/12/2008 15:00:00,"alkalinity (as CaCO3)","field titration","170","=","mg/L",""
"Lake Alexandrina: off Point Sturt",08/12/2008 15:00:00,"alkalinity (as CaCO3)","Calculation","185","=","mg/L",""
"Lake Alexandrina: off Point Sturt",08/12/2008 15:00:00,"bicarbonate","potentiometric titration","200","=","mg/L",""
"Lake Alexandrina: off Point Sturt",08/12/2008 15:00:00,"carbonate","Potentiometric titration method","13","=","mg/L",""
"Lake Alexandrina: off Point Sturt",08/12/2008 15:00:00,"hydroxide","Automated Acidimetric Titration","0","=","mg/L",""
"Lake Alexandrina: off Point Sturt",08/12/2008 15:00:00,"pH","Electrometric method (field test)","8.71","=","pH Units",""
"Lake Alexandrina: off Point Sturt",08/12/2008 15:00:00,"temperature","field test","20.6","=","Degrees C",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"Acid Neutralising Capacity (as CaCO3)","titration of unfiltered field sample","140","=","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","9.38","=","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4110","=","uS/cm",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"TKN (as N)","Kjeldahl digest/ automated colorimetric method","2.36","=","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"Turbidity","Field nephelometer probe (UofA)","54.6","=","NTU",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"Volatile Suspended Solids","Muffle furnace @ 550C","78.5","=","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"alkalinity (as CaCO3)","field titration","164","=","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"alkalinity (as CaCO3)","Calculation","184","=","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"ammonia (as N)","Auto phenate method",".008","=","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"bathymetric depth","Measured depth to bottom","1.4","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"bicarbonate","potentiometric titration","205","=","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"carbonate","Potentiometric titration method","9","=","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"chlorophyll pigments (total)","absorbance@665nm - 99% methanol","58.6","=","ug/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"hydroxide","Automated Acidimetric Titration","0","=","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"irradiance","LI-COR quantum sensor","1860.33","=","umol/s/m2",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"nitrogen (total as N)","sum of oxidised N and TKN","2.36","=","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"organic carbon (dissolved)","Combustion: IR detection","10.3","=","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"organic carbon (total)","Combustion: IR detection","24.5","=","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"oxidised nitrogen (as N)","Colorimetric: Cd reduction (field filtered sample)",".005","<","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"pH","Electrometric: Hydrolab minisonde (UoA field test)","8.45","=","pH Units",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"pH","Electometric method","8.7","=","pH Units",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"pH","Electrometric: TPS 90 (Uni of Adelaide field test)","8.35","=","pH Units",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"phosphorus (sol as P)","MF(0.45um): colorimetry (field filtered)",".005","<","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"phosphorus (total as P)","Ascorbic acid: automated flow colorimetry (water)",".165","=","mg/L",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"sampling depth","measured from water surface","0","=","Metres (m)",""
"Lake Alexandrina: off Point Sturt",17/12/2008 11:10:00,"sulphate","0.45um filtration/1% HNO3, ICP emission spectro","216","=","mg/L",""
