"Time","A5030504","A5030504","A5030504"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
29/06/1974 00:00,      94.003,      83.505,      75.254
30/06/1974 00:00,     728.179,     450.307,      75.462
01/07/1974 00:00,     660.796,     454.287,     371.002
02/07/1974 00:00,     406.080,     322.707,     232.255
03/07/1974 00:00,     232.255,     196.683,     156.956
04/07/1974 00:00,     934.822,     329.112,     138.931
05/07/1974 00:00,    1133.309,     594.980,     315.992
06/07/1974 00:00,     315.992,     277.412,     260.582
07/07/1974 00:00,    1885.836,     582.141,     275.958
08/07/1974 00:00,    2033.078,    1278.543,     632.709
09/07/1974 00:00,     632.709,     457.594,     350.533
10/07/1974 00:00,     359.165,     332.997,     313.857
11/07/1974 00:00,     370.972,     284.561,     244.253
12/07/1974 00:00,     603.590,     466.151,     350.940
13/07/1974 00:00,     350.940,     269.940,     220.180
14/07/1974 00:00,     220.180,     198.338,     187.834
15/07/1974 00:00,    2548.714,     954.903,     210.298
16/07/1974 00:00,     653.028,     402.524,     294.469
17/07/1974 00:00,     762.134,     416.377,     283.219
18/07/1974 00:00,    3676.838,    1473.276,     666.835
19/07/1974 00:00,    2395.051,     925.259,     544.112
20/07/1974 00:00,    4649.530,    2804.623,     542.333
21/07/1974 00:00,    2709.677,    1614.555,     763.888
22/07/1974 00:00,     763.888,     549.797,     414.274
23/07/1974 00:00,     414.274,     341.282,     288.001
24/07/1974 00:00,     288.001,     253.015,     225.750
25/07/1974 00:00,     369.619,     217.704,     200.275
26/07/1974 00:00,    4645.123,    2107.357,     369.619
27/07/1974 00:00,     719.081,     475.614,     346.432
28/07/1974 00:00,     346.432,     294.988,     257.792
29/07/1974 00:00,     334.450,     272.791,     241.229
30/07/1974 00:00,    3923.856,    1725.270,     334.450
31/07/1974 00:00,    1574.009,     871.874,     616.378
01/08/1974 00:00,     640.742,     461.254,     362.075
02/08/1974 00:00,    2188.806,     635.184,     314.755
03/08/1974 00:00,    4285.613,    3137.416,    2188.806
04/08/1974 00:00,    3118.159,    1152.261,     592.730
05/08/1974 00:00,     592.730,     462.362,     396.144
06/08/1974 00:00,     414.720,     401.273,     370.385
07/08/1974 00:00,    1098.835,     425.044,     293.760
08/08/1974 00:00,    1677.715,     817.869,     449.500
09/08/1974 00:00,     449.500,     364.383,     296.609
10/08/1974 00:00,     296.609,     268.152,     245.813
11/08/1974 00:00,     245.813,     222.446,     201.963
12/08/1974 00:00,     201.963,     189.501,     174.967
13/08/1974 00:00,     174.967,     164.447,     156.298
14/08/1974 00:00,    2026.598,    1197.058,     159.624
15/08/1974 00:00,     790.353,     521.882,     386.853
16/08/1974 00:00,     386.853,     312.359,     268.729
17/08/1974 00:00,     283.651,     268.725,     257.244
18/08/1974 00:00,     257.244,     227.449,     202.851
19/08/1974 00:00,     302.918,     252.159,     200.880
20/08/1974 00:00,     302.699,     281.497,     258.077
21/08/1974 00:00,     595.814,     320.955,     236.218
22/08/1974 00:00,     786.758,     531.082,     326.611
23/08/1974 00:00,     326.611,     268.816,     227.251
24/08/1974 00:00,     227.251,     203.857,     187.285
25/08/1974 00:00,     187.285,     173.840,     162.494
26/08/1974 00:00,     183.236,     159.275,     148.694
27/08/1974 00:00,     183.946,     176.579,     168.679
28/08/1974 00:00,     168.679,     160.023,     148.827
29/08/1974 00:00,     179.107,     156.939,     146.016
30/08/1974 00:00,     160.580,     149.808,     136.253
31/08/1974 00:00,     427.784,     177.191,     134.093
01/09/1974 00:00,    1157.587,     657.978,     405.130
02/09/1974 00:00,     405.582,     289.687,     229.070
03/09/1974 00:00,     229.070,     203.394,     184.196
04/09/1974 00:00,     259.546,     204.642,     181.872
05/09/1974 00:00,     538.445,     397.905,     259.546
06/09/1974 00:00,     293.105,     233.469,     195.006
07/09/1974 00:00,     195.006,     178.463,     166.625
08/09/1974 00:00,     208.915,     184.591,     164.851
09/09/1974 00:00,     183.083,     162.095,     147.741
10/09/1974 00:00,     147.741,     140.300,     133.066
11/09/1974 00:00,     133.066,     126.050,     117.742
12/09/1974 00:00,     131.475,     112.747,     109.728
13/09/1974 00:00,     209.088,     179.732,     131.475
14/09/1974 00:00,    2880.058,    1457.209,     197.718
15/09/1974 00:00,     637.563,     406.349,     291.046
16/09/1974 00:00,     291.046,     245.217,     208.804
